symbol
NCDL
CNF
DOUG
NVR
FCX
BRK-A
F
QSR
WFC
CVX
AEO
DIS
VNCE
T
PG
FVR
WTM
KGC
XOM
FIG
SMR
SPNT
EGO
AX
PSTG
LOB
HLLY
FHI
AXS-PE
QXO
FOUR
BEPH
DXC
GL
ESRT
ED
NNN
LAW
BKKT
ACI
AAT
AB
AFGC
AME
AVTR
APOS
AMX
BE
BCO
BMO
BRT
CFG
CODI-PC
DEI
DAVA
ENR
ESAB
GNL
INGM
PDM
RIO
SWX
TDS
WT
YETI
BRC
LTC
AG
AGCO
ALEX
ALL
NET
NGL
ATI
BAC-PO
BDC
RF-PC
CBAN
SMG
CE
SREA
COF-PJ
CRH
TGLS
TGNA
CTRE
AVAL
DNB
ARMK
DDS
VST
DXYZ
DY
EBR
CRI
WRB-PH
ERJ
ENS
FCN
FDX
FE
GFF
GSK
HGV
HHH
HPE
HAFN
BAX
KEX
KEY
PRKS
STT
BDX
LADR
SOJE
MSM
OBK
ASB
OLO
AN
BEN
BIO
CAAP
RVTY
BGS
BGSF
CCO
CMP
CNH
TPR
DK
ECL
DQ
EGY
BKV
ET-PI
EVTL
FRO
FINV
HTB
HPP
HPQ
HR
HIG
IBM
IBP
LTM
PFE
BWLP
SPG
SPGI
CL
THS
MSCI
NPB
RSI
BXP
TRU
VLTO
EHC
WKC
XYZ
EPR
NVRI
BHVN
MTDR
AC
TBB
CVEO
UPS
VAL
ELF
FET
FLS
GBTG
ROG
UBER
PACS
MTH
CMBT
CMC
STZ
SFL
USPH
VIPS
EQR
HLI
CVS
YOU
MFC
WMB
GM
WNC
IEX
GNK
WLK
WS
GOOS
GWRE
HG
NIQ
NKE
KD
LVS
LVWR
MC
PGRE
SA
SHG
SQM
KLG
LOAR
PRMB
KNX
MTZ
TMHC
MANU
RBA
NOV
SPXC
EQV
ODC
ONTF
HRTG
KO
MEC
TDS-PU
PB
RYI
RYN
TIXT
TBN
UHT
TPH
VIK
IX
NSA
PATH
PBH
SPNT-PB
SONY
AM
UAN
LDOS
IIPR
UNF
NWG
TRNO
STNG
SSL
KB
HMC
PMT
EVH
FLNG
LU
YUM
PEN
WM
UI
ARX
LEVI
FTK
TG
KRC
QS
TECK
MO
OOMA
OC
GRDN
MGY
FLR
NGVT
OVV
SN
HMN
FRGE
NRGV
NXRT
RITM
VZ
SKM
VOYG
INN
OGS
STN
BCS
INFY
GLW
GMS
ADCT
NBHC
FMX
CON
TTI
KT
AR
GSBD
IP
BROS
FUBO
AMPY
AMRC
NEE
APO
WAL
AVNT
BAC-PE
SSD
LPX
MX
DRI
SXI
GEV
FF
CADE-PA
MET
LHX
MS
UAA
LYV
UHAL-B
LXP
PHR
ACM
BLDR
PVH
MG
TY
DEA
NREF-PA
DAC
FTV
LAR
ARCO
PLYM
BIPI
ALG
CIVI
ATO
AXL
WHG
MBC
AOMR
AMC
BTI
DAR
BKD
BBVA
GROV
MRP
NUS
LUV
LUXE
M
MTN
MMS
GHG
LAC
NFG
DB
SKLZ
PKE
SOS
BNED
HUBB
STWD
PRGO
DOLE
NEE-PR
BFAM
LOW
PK
BLCO
CR
DHT
MYE
STEL
STEM
AROC
PFS
VVV
QUAD
BSAC
PUK
SHCO
AMCR
EFC
LBRT
BRO
CODI
CSL
AHR
IMAX
MHK
MSI
FPI
RBOT
SLVM
WLY
VMI
NOMD
TEN-PE
ALB
TCI
MH
MTB
AXP
MGR
CLW
AMN
CRM
AL
J
BLK
SHEL
CARS
CMG
MP
BRK-B
SRE
CSV
MTG
WPC
MTW
KVYO
NGS
BKH
NOW
AWI
EIC
MDU
JHG
NVST
NVT
GRND
RYAN
WY
UNFI
HRB
AESI
RH
HVT
ATEN
PCG
AMP
GB
AIR
BH
AAP
OEC
SES
VHC
TSLX
NMAX
GEF
SST
FSLY
VIRT
PBI
SITC
C
CUBE
DECK
CURV
EMA
PSO
BBY
VTMX
CMRE
FENG
FDP
VRE
SLGN
SHW
RL
EIX
AIT
FL
CB
GHI
LSPD
WEC
SBH
SW
CAH
IRM
ALUR
BBUC
CAVA
CNP
CIM
DHR
VLRS
FUL
FBRT
FC
ONON
PAC
BRFS
MWA
NTST
CPA
TEL
BF-A
SGU
JBS
XPRO
HY
LH
SU
JPM-PM
ESTC
LCII
PFLT
MLM
KWR
LAZ
GTY
LDI
ACR
ABM
AGI
AMTM
BCE
BIPH
BJ
CHD
CHE
CNI
DHX
DAN
DBRG
DFIN
APAM
INR
JEF
JPM
KBDC
KFRC
KMPR
KMX
LMT
ARW
RC
RM
SBS
SBSI
TJX
TOST
UGP
VHI
BAC-PK
BAC-PL
BHC
PD
KEN
LTH
ADM
AMG
PH
PRO
CATO
BWMX
SII
CBRE
CCL
TGS
COLD
TXT
UL
AORT
USAC
DOW
VSTS
WOR
EAT
FERG
GFI
HASI
KEYS
OGN
POR
PRLB
RRC
BCSF
ZTO
KSS
ALSN
BALL
BBW
AP
BRBR
CABO
BWA
CLPR
SNOW
CF
BMA
TRGP
VRT
VRTS
DVA
ECCU
WELL
ZWS
FCPT
BLD
GOLF
GIB
HQL
HOG
OTF
PNR
BX
ETD
MLI
ATR
SAH
BTX
BNT
SCCO
RXO
SEMR
STE
CRCL
CRD-B
ACHR
VG
XPER
EPC
NX
KKRS
EQBK
MT
ABEV
BSM
CLX
CLCO
CLDT
CLF
CPF
TNK
CPK
DRH
WBX
UZF
ECVT
XIFR
V
FPH
FSS
FUN
GFR
HAYW
GMED
GXO
PLOW
PSBD
SNX
PINS
MTX
SAN
SAND
TROX
EE
EBF
EQNR
GEL
PM
RGA
RCUS
K
CNC
DD
UA
TVE
EMN
HLIO
EXP
EXPD
AHL-PE
EVR
PNNT
EVC
GCI
VTS
JLL
MNTN
KLC
PWR
QTWO
RCL
S
SR
UZE
IVR
LZB
MFA
RNR
SMRT
SPIR
SE
SKY
SYF-PA
SO
UZD
VICI
TWLO
ALE
OMI
KMI
LION
IHG
OKLO
ARI
THG
TRN
GCTS
NPWR
ROL
STM
IVT
ALLE
KREF-PA
KRG
NRP
PRA
MMI
PHG
SPRU
SCI
SCL
SYK
TEF
TEVA
ITW
SBSW
KW
NU
LXFR
LXU
LYB
MAS
LB
BARK
MBI
RY
KBR
AMBP
GLP
CPT
DDL
FAF
LC
CDE
ESE
AIZN
YUMC
JBGS
GRBK
IBTA
ACCO
HXL
RLX
WSO
ALC
EGP
IQV
VIST
JXN
REXR
HSHP
ALX
WTI
MAA
MKL
MHO
EXR
EPAM
CNO
GPC
HMY
AMT
AQN
VTLE
WPM
HLN
TSQ
KOS
AVD
CUK
CULP
RKT
MGRD
VTEX
MCO
GAM
SEI
GPK
YSG
KMT
VOYA
SLB
KOP
HWM
ALV
ATH-PE
BAC
BAC-PB
GGG
MGA
TRP
DT
EQT
GETY
EQH-PA
ASX
EAF
MET-PE
WEAV
ETR
MEG
R
PAM
PAAS
FMS
SOL
ACN
RNR-PG
DE
AA
BBAI
DELL
CVNA
EVTC
INSP
AXR
AZZ
BOX
BMY
CNQ
JELD
DINO
PEG
ZK
PJT
AMWL
SMHI
ROK
WRB
WK
HBB
TDOC
NMG
SCHW
WWW
NSP
CGAU
DOCS
TRC
HGTY
KFS
MCY
IFF
NOTE
VEEV
UVE
STLA
BBDO
CAPL
MSGE
RMAX
ELP
HZO
BYD
BH-A
MEI
RBLX
PLNT
TLYS
SCM
HII
CNS
SUN
TDY
TWI
GHLD
EFXT
JPM-PC
BHP
DKS
BY
DG
H
NSC
AEM
BRX
LOMA
AIZ
PRIM
MSIF
BNS
TDG
VALE
ANF
TAK
TMO
KRP
PII
SB
WOLF
GE
PLD
TKC
CCS
SBDS
EFX
AGX
CNR
ALL-PH
ARL
NLY
AVB
ECC
WMT
BVN
KVUE
RSKD
CCI
G
JMIA
MLR
ONTO
RCI
RELX
RYAM
UNP
TSN
MUR
MAIN
SGI
TME
TFC
ICE
SPB
SAFE
CNK
TRV
CAT
CBT
RERE
RES
APLE
HUN
ACRE
ASAN
IDA
BORR
AHT
UFI
ZIM
AGRO
CPNG
TYL
KNSL
GAP
BEP
UCB
BBU
NI
CHCT
ARR
SYF
FHN
YPF
NNI
WBS
APTV
CPS
UTL
ELS
ENIC
REZI
ASIX
ATUS
AMBQ
ALTG
BBWI
BC
CDRE
CLVT
CXW
ARES
CLB
TALO
DLB
XHR
WTRG
RAMP
JPM-PJ
ABG
AAUC
ATS
VVX
AOS
GIC
LFT
FMC
SEG
FI
COSO
HOUS
GPI
ENVA
MDV
ABT
AMPX
AMR
AUNA
BIPC
BSBR
BTE
CNM
CNMD
CMDB
CBL
CTO
DHI
FTS
AIV
HKD
HOMB
JBL
JBTM
KAR
LLY
MLP
NCLH
ASR
PSFE
SGHC
SOR
SSTK
TK
UGI
USM
ASH
WST
BAK
JILL
AFGE
AFL
ONIT
BFS
BABA
AVNS
BHR
RGR
RNG
RNGR
BNL
RTO
BURL
BYON
CBZ
SLG
SPHR
CCK
CCM
CIEN
CTVA
ADT
TPC
CSTM
CSAN
ARE
DLR
EBS
WOW
ETN
GEF-B
GKOS
GOTU
HI
HUYA
MUX
BW
ORCL
LNC-PD
ASC
PRM
BEPC
BR
RPM
SAP
BG
CI
COUR
CRBG
CRC
